"TRADE.NAME","OpenCat","street","lon","lat"
"Barrel","2014-15","613 PENNSYLVANIA AVE SE",-76.9978852,38.8850614
"Basil Thai Restaurant","2007 or earlier","1608 WISCONSIN AVE NW",-77.0655063,38.9110713
"Bayou Bakery on the Hill","2014-15","921 PENNSYLVANIA AVE SE",-76.9931301,38.8829927
"Bearnaise","2012-13","313‐315 PENNSYLVANIA AVE SE",-77.0015629,38.8865205
"Beau Thai","2012-13","3162‐3164 MOUNT PLEASANT ST NW",-77.0383091,38.9302768
"Beuchert's Saloon","2012-13","623 PENNSYLVANIA AVE SE",-76.9976468,38.8848622
"Bier Baron Hotel & Tavern","2010-11","1523 22ND ST NW",-77.0484822,38.9102797
"Big Chair Coffee & Grill","2010-11","2122 MARTIN LUTHER KING JR. AVE SE",-76.9895151,38.865079
"Billy Goat Tavern & Grill","2007 or earlier","500 NEW JERSEY AVE NW",-77.0119074,38.8965029
"Birch & Barley/Churchkey","2008-9","1337 14TH ST NW",-77.031491,38.9084931
"Bistro CaCao","2008-9","320 MASSACHUSETTS AVE NE",-77.0009586,38.8944851
"Bistro Doc","2007 or earlier","518 10TH ST NW",-77.0262939,38.896835
"Bistro Du Coin","2007 or earlier","1738 CONNECTICUT AVE NW",-77.0461765,38.9137705
"Bistro Italia","2007 or earlier","320 D ST NE",-77.0011809,38.8949541
"Bistro Lepic","2007 or earlier","1736 WISCONSIN AVE NW",-77.0674015,38.9145835
"BISTROQUET","2014-15","5100 MACARTHUR BLVD NW",-77.101728,38.924938
"Black Rooster Pub","2007 or earlier","1919 L ST NW",-77.0443701,38.9039479
"Black Salt Fish & Market","2007 or earlier","4883 MACARTHUR BLVD NW",-77.0964997,38.9178579
"Black Whiskey","2012-13","1410 14TH ST NW",-77.0322394,38.9092845
"Blackfinn","2008-9","1620 I ST NW",-77.0375182,38.9010793
"BLT Steak","2007 or earlier","1625 I ST NW",-77.0375161,38.9017197
"Bobby Van's Grill","2007 or earlier","1201 NEW YORK AVE NW",-77.0286966,38.9008872
"Bobby Van's Steakhouse","2007 or earlier","805 15TH ST NW",-77.0328313,38.9005647
"Bodega","2008-9","3116 M ST NW",-77.0617728,38.9049603
"Bolt Burger","2012-13","1010 MASSACHUSETTS AVE NW",-77.0266747,38.9033358
"Bonchon","2014-15","1015 HALF ST SE",-77.0077262,38.8777311
"Booeymonger Restaurant","2007 or earlier","3265 PROSPECT ST NW",-77.0650437,38.9061158
"Boundary Road Restaurant","2012-13","414 H ST NE",-76.9998772,38.9004407
"Boundary stone Public 
House","2010-11","116 RHODE ISLAND AVE NW",-77.0127643,38.9153476
"Brasserie Beck","2007 or earlier","1101 K ST NW",-77.0276112,38.9029796
"Bravo Bravo","2007 or earlier","1001 CONNECTICUT AVE NW",-77.0391673,38.9028929
"Bravo Lounge","2012-13","2917 GEORGIA AVE NW",-77.0228221,38.9277903
"Bread & Chocolate","2007 or earlier","5542 CONNECTICUT AVE NW",-77.0757843,38.9644848
"Bread and Chocolate","2007 or earlier","2301 M ST NW",-77.0503784,38.9054281
"Bread Furst","2014-15","4434 CONNECTICUT AVE NW",-77.0659401,38.9474695
"Brookland Pint","2014-15","716 MONROE ST NE",-76.9952922,38.9328484
"Brookland's Finest Bar & 
Kitchen","2014-15","3126‐3128 12TH ST NE",-76.9908947,38.9294438
"Bua Restaurant & Bar","2007 or earlier","1635 P ST NW",-77.0380062,38.9098256
"Buffalo Billiards 
Corporation","2007 or earlier","1330 19TH ST NW",-77.0438535,38.9084419
"Buffalo Wild Wings","2014-15","1220 HALF ST SW",-77.0104407,38.8757848
"Bukom Cafe","2007 or earlier","2442 18TH ST NW",-77.0427231,38.9218053
"Bullfeathers","2007 or earlier","410 1ST ST SE",-77.0055119,38.8846492
"Busboys & Poets","2007 or earlier","1390 V ST NW 111",-77.0315043,38.9179539
"Cactus Cantina","2007 or earlier","3300 WISCONSIN AVE NW",-77.0726921,38.9336614
"Cafe 8","2007 or earlier","424 8TH ST SE",-76.9946895,38.8830409
"Cafe Berlin","2007 or earlier","322 MASSACHUSETTS AVE NE",-77.0008959,38.894469
"Cafe Bonaparte","2007 or earlier","1522 WISCONSIN AVE NW",-77.064615,38.9094014
"Cafe Citron","2007 or earlier","1343 CONNECTICUT AVE NW",-77.0423098,38.9084523
"Cafe Deluxe","2007 or earlier","3226‐3230 WISCONSIN AVE NW",-77.072958,38.933132
"Cafe Mozart","2007 or earlier","1331 H ST NW",-77.0304647,38.90053
"Cafe Soleil","2007 or earlier","839 17TH ST NW",-77.0391523,38.9010811
"Camelot","2007 or earlier","1823 M ST NW",-77.0427138,38.9059184
"Cantina Marina","2007 or earlier","600 WATER ST SW A",-77.0210493,38.8751275
"Capitale","2012-13","1301 K ST NW",-77.0305435,38.9029257
"Capitol Hill Tandor and Grill","2007 or earlier","419 8TH ST SE",-76.9952825,38.8830912
"Carmine's","2010-11","425 7TH ST NW",-77.0217135,38.8955701
"Carolina Kitchen Bar & Grill","2014-15","2300‐2350",-76.9947934,38.9212242
"Carving Room","2012-13","300 MASSACHUSETTS AVE NW",-77.0158252,38.8994712
"Casa Luca","2012-13","1099 NEW YORK AVE NW",-77.0267383,38.9017038
"Catch 15","2012-13","1518 K ST NW",-77.0354027,38.9021753
"Caucus Room Brasserie","2012-13","2350 M ST NW",-77.0509781,38.9049295
"Cava Mezze Grill","2014-15","707 H ST NW",-77.0223895,38.9000773
"Cava Restaurant","2008-9","527‐529 8TH ST SE",-76.9953387,38.8818932
"Cedar","2008-9","822 E ST NW",-77.023293,38.8959342
"Centrolina","2014-15","974 PALMER ALLEY NW",-77.0255203,38.9002695
"Chads Friendship Heights","2007 or earlier","5247 WISCONSIN AVE NW 000C1",-77.0368707,38.9071923
"Chalin's Restaurant","2007 or earlier","1912 I ST NW",-77.0439926,38.9010324
"Charlies","2007 or earlier","7307 GEORGIA AVE NW",-77.0262011,38.978606
"Cheerz","2014-15","7303 GEORGIA AVE NW",-77.0262002,38.9785006
"Chesapeake Room","2010-11","501 8TH ST SE",-76.9952681,38.8825935
"Chez Billy","2012-13","3813 GEORGIA AVE NW",-77.0242728,38.938124
"Chi‐Cha Lounge","2007 or earlier","1624 U ST NW",-77.037886,38.9167767
"Chinatown Coffee 
Company","2008-9","475 H ST NW",-77.0186886,38.9000656
"Chinatown Express","2007 or earlier","746 6TH ST NW",-77.0202054,38.8995727
"Chinatown Garden 
Restaurant","2007 or earlier","618 H ST NW",-77.0211005,38.8996834
"Chix","2012-13","1121 14TH ST NW",-77.0315762,38.9045067
"Chuck & Bill Bison Lounge","2007 or earlier","2718 GEORGIA AVE NW",-77.0230208,38.9256704
"Chupacabra","2012-13","822 H ST NE",-76.9939334,38.9004513
"Churreria Madrid 
Restaurant","2007 or earlier","2505 CHAMPLAIN ST NW",-77.0411952,38.9232973
"City Lights of China","2007 or earlier","1729‐1731 CONNECTICUT AVE NW",-77.0452719,38.913566
"Club Timehri","2007 or earlier","2439 18TH ST NW",-77.0419775,38.9215635
"Clyde's","2007 or earlier","3236 M ST NW",-77.064073,38.9049935
"Clyde's Of Gallery Place","2007 or earlier","707 7TH ST NW",-77.021672,38.8990612
"Cobalt/ 30 Degrees/Level 
One","2007 or earlier","1639‐1641 R ST NW",-77.038212,38.912815
"Columbia Station","2007 or earlier","2325 18TH ST NW",-77.0416193,38.9203891
"Comet Pizza","2007 or earlier","5037 CONNECTICUT AVE NW",-77.0699666,38.9559497
"Commissary","2008-9","1443 P ST NW",-77.0334769,38.9098773
"Convivial","2014-15","801 O ST NW",-77.0230848,38.9085899
"Corado's Guatemalan 
Restaurant","2007 or earlier","3217 MT PLEASANT ST NW",-77.038167,38.9317319
"Corduroy","2007 or earlier","1122 9TH ST NW",-77.0242622,38.9050807
"Corina's Restaurant","2012-13","831 KENNEDY ST NW",-77.025347,38.956605
"Cork","2008-9","1720 14TH ST NW UNIT A",-77.0321856,38.913331
"Cuba Libre Restaurant & 
Rum Bar","2010-11","801 9TH ST NW",-77.0234717,38.9003345
"CULTURE COFFEE","2012-13","709 KENNEDY ST NW",-77.0227605,38.9565908
"D C Noodles","2008-9","1410 U ST NW",-77.032458,38.9168597
"Da Luft Restaurant & 
Lounge","2012-13","1242 H ST NE",-76.9888092,38.9003658
"Daily Grill","2007 or earlier","1200 18TH ST NW",-77.0420559,38.9059372
"Dalchinni/Le Mirch","2012-13","1736 CONNECTICUT AVE NW",-77.0461232,38.9137224
"Dan's Cafe","2007 or earlier","2315 18TH ST NW",-77.0415354,38.9201015
"Dangerously Delicious DC","2010-11","1339 H ST NE",-76.9869081,38.8998779
"Darlington House: 
Cantina/Kitchen/Library","2008-9","1610 20TH ST NW",-77.0451698,38.9116323
"Das Ethiopian Cuisine","2010-11","1201 28TH ST NW",-77.0568764,38.9054045
"DBGB Kitchen and Bar","2014-15","931 H ST NW",-77.0249762,38.8999562
"DC Boat House","2008-9","5441 MACARTHUR BLVD NW",-77.1065108,38.9300192
"DC Cafe","2007 or earlier","2035 P ST NW",-77.0463315,38.9098936
"DC Eagle","2014-15","3701 BENNING RD NE STE A",-76.9510995,38.8948441
"DC Reynolds","2012-13","3628 GEORGIA AVE NW",-77.0243991,38.9348703
"Decadence","2014-15","6204 GEORGIA AVE NW",-77.0279245,38.9651866
"Decarlos Restaurant","2007 or earlier","4822 YUMA ST NW",-77.095346,38.9458945
"Desperados Pizza","2010-11","1342 U ST NW",-77.0312103,38.9167407
"DEW DROP INN","2014-15","2801 8TH ST NE",-76.9947128,38.9259704
"Dickson Wine","2010-11","903‐905 U ST NW",-77.0243997,38.9171569
"District Chophouse & 
Brewery","2007 or earlier","509 7TH ST NW",-77.0215634,38.8965164
"District of Pi","2010-11","910 F ST NW",-77.0247746,38.897147
"DISTRICT TACO","2012-13","656 PENNSYLVANIA AVE SE",-76.9966873,38.8852836
"DOI MOI/2 BIRDS 1 STONE","2012-13","1800 14TH ST NW",-77.0322091,38.9143611
"Don Jaime","2007 or earlier","3209 MT PLEASANT ST NW",-77.0381859,38.9314812
"Don Juan Restaurant & 
Carryout","2007 or earlier","1660 LAMONT ST NW",-77.038633,38.931055
"Don Lobo's Mexican Grill","2007 or earlier","2811 M ST NW",-77.0574255,38.9054755
"DONBURI DC","2012-13","2438 18TH ST NW",-77.0426857,38.9216183
"DRAFTING TABLE","2012-13","1529 14TH ST NW 201",-77.0315806,38.9107642
"Dukem Ethiopian 
Restaurant & 
Market/Apple Lounge","2007 or earlier","1114‐1118 U ST NW",-77.0279544,38.9168834
"Dupont Italian Kitchen","2007 or earlier","1637 17TH ST NW",-77.0382431,38.912428
"Eat First","2007 or earlier","609 H ST NW",-77.0204162,38.8999856
"Eat The Rich/Southern 
Efficiency","2012-13","1839‐1841 7TH ST NW",-77.0216698,38.9151577
"Echostage","2012-13","2135 QUEENS CHAPEL RD NE",-76.9724212,38.9199
"Eclipse Restaurant & 
Nightclub","2007 or earlier","2820 BLADENSBURG RD NE",-76.964394,38.926398
"El Amigo Restaurant","2007 or earlier","3612 14TH ST NW",-77.0330777,38.9367214
"El Camino","2014-15","108 RHODE ISLAND AVE NW",-77.0126994,38.9152948
"El Centro D. F.","2012-13","1218 WISCONSIN AVE NW",-77.0630393,38.9056872
"El Chucho ‐ Cocina Superior","2012-13","3313 11TH ST NW",-77.0277876,38.9310809
"El Don Restaurant","2007 or earlier","4403 14TH ST NW",-77.0325419,38.9442718
"El Nuevo Migueleno","2007 or earlier","1721 COLUMBIA RD NW",-77.040037,38.924764
"El Pulgarcito","2007 or earlier","5313 GEORGIA AVE NW",-77.0275702,38.9545872
"El Rincon","2007 or earlier","1826 COLUMBIA RD NW",-77.0430617,38.9219445
"El Rinconcito Cafe","2007 or earlier","1129 11TH ST NW",-77.026668,38.905458
"El Tamarindo Adam 
Morgan","2007 or earlier","1785 FLORIDA AVE NW",-77.0412931,38.917187
"El Torogoz Restaurant","2007 or earlier","4231 9TH ST NW",-77.0248101,38.9425819
"Eno Wine Bar","2012-13","2810 PENNSYLVANIA AVE NW",-77.0575087,38.9048879
"Equinox","2007 or earlier","818 CONNECTICUT AVE NW",-77.0386969,38.9008815
"Estadio","2010-11","1520 14TH ST NW",-77.0322874,38.9102745
"Et Voila","2008-9","5120 MACARTHUR BLVD NW",-77.102364,38.925368
"Ethiopic Restaurant","2008-9","401 H ST NE",-77.0003874,38.8999556
"Etto","2012-13","1541 14TH ST NW",-77.031618,38.910967
"Evolve Vegan Restaurant","2014-15","341 CEDAR ST NW",-77.0180333,38.9750344
"Expo Restaurant & Lounge","2007 or earlier","1928 9TH ST NW",-77.0242853,38.9163852
"Fado Irish Pub & 
Restaurant","2007 or earlier","804 7TH ST NW",-77.0222154,38.9001964
"Fainting Goat","2012-13","1330 U ST NW",-77.0308397,38.9167735
"FELICITA PIZZERIA","2012-13","4720 14TH ST NW",-77.033071,38.947808
"Fig & Olive","2014-15","934 PALMER ALLEY NW",-77.0245531,38.9001695
"Filomena","2007 or earlier","1063 WISCONSIN AVE NW",-77.0624639,38.9043944
"Flight","2014-15","777 6TH ST NW",-77.0195899,38.899372
"Floriana","2007 or earlier","1602 17TH ST NW",-77.0387194,38.9113353
"Founding Farmers","2008-9","1900 PENNSYLVANIA AVE NW",-77.0441567,38.9000802
"Froggy Bottom Pub","2012-13","2021 K ST NW",-77.0457347,38.90295
"G Street Food","2014-15","1030 15TH ST NW",-77.0349618,38.9034703
"Garden District","2010-11","1801 14TH ST NW",-77.0315421,38.9142436
"Gazuza","2007 or earlier","1629 CONNECTICUT AVE NW UNIT A",-77.0444228,38.9121208
"Georgia Brown's","2007 or earlier","950 15TH ST NW",-77.035024,38.9020309
"Good Stuff Eatery","2012-13","3291 M ST NW",-77.0657814,38.9053221
"Good Stuff Eatery","2008-9","303 PENNSYLVANIA AVE SE",-77.0017867,38.8866776
"Gordon Biersch Brewery 
Restaurant","2007 or earlier","900 F ST NW UNIT B",-77.0243744,38.8971064
"Gordon Biersch Brewery 
Restaurant","2012-13","100 M ST SE",-77.0053736,38.8767926
"Graffiato","2010-11","707 6TH ST NW",-77.019589,38.898672
"Granville Moore's Brickyard","2007 or earlier","1238 H ST NE",-76.9889287,38.90042
"Great Wall Szechuan House","2007 or earlier","1527 14TH ST NW",-77.0316188,38.9105705
"Green Lantern/Tool Shed","2007 or earlier","1335 GREEN CT NW",-77.0308547,38.9044805
"Guapo's Restaurant","2007 or earlier","4515‐4517 WISCONSIN AVE NW",-77.079547,38.948451
"Habana Village","2007 or earlier","1834 COLUMBIA RD NW",-77.0431045,38.9217321
"Hank's Oyster Bar","2007 or earlier","1622‐1624 Q ST NW",-77.038115,38.910867
"Hans Pedr' Kaffe & 
Restaurant","2014-15","1781 FLORIDA AVE NW",-77.0408688,38.9174811
"Hard Rock Cafe","2007 or earlier","999 E ST NW",-77.0256486,38.8963133
"Harry's","2007 or earlier","436 11TH ST NW",-77.0273194,38.8959394
"Haydee's 2000","2008-9","6303 GEORGIA AVE NW",-77.0272858,38.9663401
"Haydee's Restaurant","2007 or earlier","3102 MT PLEASANT ST NW",-77.037668,38.9290125
"Hikari Sushi & Sake Bar","2012-13","644 H ST NE",-76.9966422,38.9003833
"Hill Country","2010-11","410 7TH ST NW",-77.0223138,38.895133
"Hooters","2007 or earlier","827 7TH ST NW",-77.0218585,38.9005032
"Hunan Dynasty","2007 or earlier","215 PENNSYLVANIA AVE SE",-77.0028853,38.8870173
"I Ricchi","2007 or earlier","1220 19TH ST NW UNIT B",-77.0438732,38.906625
"Il Canale","2010-11","1063‐1065 31ST ST NW",-77.0609744,38.904493
"Il Tesoro","2007 or earlier","4400 CONNECTICUT AVE NW",-77.0656171,38.9469488
"Indique","2007 or earlier","3512 CONNECTICUT AVE NW",-77.0591097,38.9360417
"Irish Channel Restaurant","2007 or earlier","500 H ST NW UNIT A",-77.0191911,38.8994686
"Iron Gate","2012-13","1734‐1738 N ST NW",-77.039866,38.907013
"Iron Horse","2010-11","507 7TH ST NW",-77.0217498,38.8964294
"Italian Pizza Kitchen","2007 or earlier","2608 CONNECTICUT AVE NW",-77.0520571,38.9239804
"Ivy City Tavern","2014-15","1356 OKIE ST NE",-76.985552,38.9146349
"Izakaya Seki","2012-13","1117 V ST NW",-77.0277839,38.9182765
"J Paul's","2007 or earlier","3218 M ST NW",-77.0634894,38.90493
"Jackey Cafe","2007 or earlier","611 H ST NW",-77.0205039,38.9000582
"JAKE'S AMERICAN GRILLE","2010-11","5016‐5018 CONNECTICUT AVE NW",-77.0704367,38.9552223
"Jaleo","2007 or earlier","480 7TH ST NW",-77.0222721,38.8959259
"James Hoban's","2007 or earlier","1 DUPONT CIR NW",-77.044413,38.90899
"Java House","2007 or earlier","1645 Q ST NW",-77.0381499,38.9113649
"Jenny's","2014-15","668 WATER ST SW",-77.0230486,38.8778525
"Jimmy Valentine's Lonely 
Hearts Club","2007 or earlier","1103 BLADENSBURG RD NE",-76.980549,38.9038899
"Jo Jo Restaurant & Bar","2007 or earlier","1518 U ST NW",-77.0353993,38.9168321
"Joe’s Seafood, Prime Steak 
and Stone Crab","2014-15","750 15TH ST NW",-77.0339311,38.89996
"Johana's Restaurant","2008-9","4728 14TH ST NW",-77.033071,38.9480099
"Jr's Bar and Grill","2007 or earlier","1519 17TH ST NW",-77.0381514,38.910472
"Justin's Cafe","2010-11","1025 1ST ST SE",-77.0063468,38.8777369
"Jyoti Foods Cuisine","2007 or earlier","2433 18TH ST NW",-77.0418773,38.9213852
"Kapnos","2012-13","1315 W ST NW",-77.0310319,38.9194832
"Kellys Irish Times","2007 or earlier","14 F ST NW",-77.009797,38.897055
"Kenny's Smokehouse","2007 or earlier","732 MARYLAND AVE NE",-76.9951885,38.8956898
"Keren Restaurant","2008-9","1780 FLORIDA AVE NW 00711",-77.0412576,38.916789
"Khan's","2010-11","1125 H ST NE",-76.9904652,38.8998661
"Komi","2007 or earlier","1509 17TH ST NW",-77.0381571,38.9101034
"Little Serow","2010-11","1511 17TH ST NW",-77.0381594,38.9101526
"Kotobuki","2007 or earlier","4822 MACARTHUR BLVD NW UNIT B",-77.0963933,38.9167577
"Kramerbooks & Afterwords","2007 or earlier","1517 CONNECTICUT AVE NW",-77.0438086,38.9108015
"L'Enfant Cafe & Bar","2007 or earlier","2000 18TH ST NW",-77.0418311,38.9171068
"L'hommage","2014-15","450 K ST NW",-77.0181135,38.9021214
"La Cabana Restaurant","2007 or earlier","3614 14TH ST NW",-77.0330084,38.9367797
"La Chaumiere","2007 or earlier","2813 M ST NW",-77.0574684,38.9055275
"La Fourchette","2007 or earlier","2429 18TH ST NW",-77.0419159,38.9212751
"La Libertad Restaurant","2007 or earlier","4622 14TH ST NW",-77.033054,38.946835
"La Loma","2007 or earlier","316 MASSACHUSETTS AVE NE A",-77.0010844,38.8945226
"La Lomita Dos","2007 or earlier","308 PENNSYLVANIA AVE SE",-77.0015952,38.8872264
"La Lomita Restaurant","2007 or earlier","1330 PENNSYLVANIA AVE SE",-76.9867052,38.8810393
"La Molienda","2007 or earlier","3568 14TH ST NW",-77.0330279,38.9362441
"La Morenita","2010-11","3539 GEORGIA AVE NW",-77.0237887,38.9338852
"La Piquette","2012-13","3712‐3714 MACOMB ST NW",-77.0731785,38.9332721
"La Tasca","2007 or earlier","722 7TH ST NW",-77.022204,38.8992539
"La Tomate","2007 or earlier","1703 CONNECTICUT AVE NW",-77.0452077,38.9128598
"La Villa Cafe","2014-15","6115 GEORGIA AVE NW",-77.0274639,38.9642759
"Lalibela Ethiopian 
Restaurant","2007 or earlier","1415 14TH ST NW",-77.0319296,38.9094781
"Langston Bar & Grille","2008-9","1831 BENNING RD NE",-76.9768481,38.8987449
"Larrys Lounge","2007 or earlier","1840 18TH ST NW",-77.041845,38.9153909
"Las Canteras","2007 or earlier","2307 18TH ST NW",-77.0414352,38.9199485
"Lauriol Plaza Restaurant","2007 or earlier","1835 18TH ST NW",-77.0413798,38.9153185
"Lavagna","2010-11","539 8TH ST SE",-76.995337,38.8815941
"Le Diplomate","2012-13","1601 14TH ST NW",-77.0315844,38.9113604
"Le Grenier","2012-13","502 H ST NE",-76.9992395,38.9004254
"Lebanese Taverna","2007 or earlier","2641 CONNECTICUT AVE NW",-77.0518026,38.9247413
"Legal Sea Foods","2007 or earlier","702‐708 7TH ST NW",-77.022179,38.898839
"Leopold's Kafe 
Konditorei/L2","2007 or earlier","3315 CADY'S ALLEY NW",-77.0665136,38.9048407
"Lincoln Park/Wine Bar","2014-15","106 13TH ST SE",-76.9880116,38.8894232
"Lindys Bon Appetit","2007 or earlier","2040 I ST NW",-77.0463989,38.900487
"Little Fountain Cafe/Angles","2007 or earlier","2339 18TH ST NW",-77.0416786,38.9206518
"Little Miss Whiskey's 
Golden Dollar","2008-9","1104 H ST NE",-76.9912058,38.9003921
"Local 16","2007 or earlier","1600 U ST NW",-77.0371,38.9167879
"Loeb's Restaurant","2007 or earlier","1712 I ST NW",-77.0401317,38.9010535
"Logan @ The Heights","2007 or earlier","3115 14TH ST NE",-76.986722,38.929284
"Lounge of Three","2008-9","1013 U ST NW",-77.0264556,38.9171841
"Lucky Bar","2007 or earlier","1221 CONNECTICUT AVE NW",-77.0412186,38.906598
"Luna Grill","2007 or earlier","1301 CONNECTICUT AVE NW",-77.0419317,38.9076329
"Lupo Verde","2014-15","1401 T ST NW",-77.0321969,38.9157099
"Lyman's","2014-15","3720 14TH ST NW",-77.0330879,38.9377821
"Macombo Lounge","2007 or earlier","5335 GEORGIA AVE NW",-77.0276932,38.9549536
"Macon‐DC","2014-15","5520 CONNECTICUT AVE NW",-77.0753954,38.9636726
"Mad Hatter","2007 or earlier","1321 CONNECTICUT AVE NW",-77.042007,38.9079937
"Madam's Organ","2007 or earlier","2461 18TH ST NW",-77.0421529,38.9220369
"Madrid Restaurant","2014-15","1714 CONNECTICUT AVE NW",-77.0458048,38.9130999
"Maggiano's","2007 or earlier","5333 WISCONSIN AVE NW",-77.0845819,38.9597598
"Magic Gourd Restaurant","2007 or earlier","528 23RD ST NW",-77.0510873,38.8967322
"Mama Ayesha's Calvert 
Restaurant","2007 or earlier","1967 CALVERT ST NW",-77.0467652,38.9234738
"Mandu","2007 or earlier","1805 18TH ST NW",-77.0414505,38.9143826
"Mandu","2010-11","453 K ST NW",-77.0178456,38.9025432
"Marcel's","2007 or earlier","2401 PENNSYLVANIA AVE NW UNIT B",-77.0519656,38.9034207
"Mari Vanna Restaurant","2012-13","1141 CONNECTICUT AVE NW",-77.0404672,38.9051894
"Marrakech Restaurant","2012-13","2147‐2149 P ST NW",-77.0482038,38.9098529
"Marx Cafe American Bar","2007 or earlier","3203 MT PLEASANT ST NW",-77.038107,38.9313919
"Masala Art","2008-9","4441 A WISCONSIN AVE NW",-77.07907,38.947654
"Mason Inn","2010-11","2408 WISCONSIN AVE NW",-77.0723413,38.9215685
"Masseria","2014-15","1340 4TH ST NE",-76.9992186,38.9097011
"Matchbox","2008-9","521 8TH ST SE",-76.9953375,38.8820956
"Matchbox","2012-13","1901 14TH ST NW",-77.0315452,38.9157563
"Mate","2007 or earlier","3101 K ST NW",-77.0614045,38.9029496
"Matisse Bar & Grill","2007 or earlier","4934 WISCONSIN AVE NW",-77.0828723,38.9543178
"Mccormick & Schmick 
Seafood Restaurant","2007 or earlier","1652 K ST NW",-77.0377907,38.9021943
"Meat and Foods","2014-15","247 FLORIDA AVE NW",-77.0155908,38.9138131
"Medaterra","2007 or earlier","2614 CONNECTICUT AVE NW",-77.0522641,38.9240954
"Medium Rare","2010-11","3500‐3502 CONNECTICUT AVE NW",-77.0586428,38.9357655
"Menomale, LLC","2012-13","2711 12TH ST NE",-76.9901519,38.92485
"Meze","2007 or earlier","2437 18TH ST NW",-77.0419546,38.921516
"MGM Roast Beef","2008-9","1905 BRENTWOOD RD NE",-76.994333,38.916028
"Micho's","2014-15","500 H ST NE",-76.9993167,38.9004035
"MINIBAR","2007 or earlier","855 E ST NW",-77.0236001,38.8963741
"Mintwood Place","2012-13","1811 A‐1813 COLUMBIA RD NW",-77.0433395,38.92204
"Mockingbird Hill","2007 or earlier","1843 7TH ST NW",-77.0216202,38.9152425
"Momiji","2008-9","503 H ST NW",-77.0190512,38.899834
"Morgan's Seafood Bar & 
Grill","2007 or earlier","3200 GEORGIA AVE NW",-77.0236359,38.9302042
"Morton's The 
Steakhouse/Bar 21","2007 or earlier","1050 CONNECTICUT AVE NW",-77.0407226,38.903451
"Morton's The Steakhouse/ 
Bar 21","2007 or earlier","3251 PROSPECT ST NW C‐4",-77.0640793,38.9061894
"Mourayo","2007 or earlier","1732 CONNECTICUT AVE NW",-77.0460913,38.9136454
"MPIRE Club","2014-15","1819 M ST NW",-77.0425716,38.9059105
"Mr Chen's","2007 or earlier","2604 CONNECTICUT AVE NW",-77.0520746,38.9238463
"Mr. Henry's","2007 or earlier","601 PENNSYLVANIA AVE SE",-76.9982665,38.8852078
"Mr. Smith's of Georgetown","2014-15","3205 K ST NW",-77.063129,38.902812
"My Canton Restaurant","2012-13","1772 COLUMBIA RD NW",-77.0411421,38.923418
"Nam‐viet Pho 79","2007 or earlier","3419 CONNECTICUT AVE NW",-77.0576746,38.9350234
"Nando's Peri Peri","2008-9","819 7TH ST NW 1",-77.0216064,38.9003963
"Nando's Peri Peri","2008-9","1210 18TH ST NW",-77.0419346,38.9061504
"Nando's Peri Peri","2014-15","4231 WISCONSIN AVE NW",-77.0772812,38.9441732
"Nanny O'Brien's Irish Pub","2007 or earlier","3319 CONNECTICUT AVE NW",-77.0572167,38.9341174
"Nati Hookah Bar","2010-11","2839 GEORGIA AVE NW",-77.0227341,38.927113
"New Big Wong","2007 or earlier","610 H ST NW",-77.0205899,38.8995317
"New District Kitchen","2012-13","2606 CONNECTICUT AVE NW",-77.0521155,38.923893
"New Heights","2007 or earlier","2317 CALVERT ST NW",-77.0522596,38.9237089
"Noble Lounge","2014-15","1915 9TH ST NW",-77.023733,38.9162177
"Nottie Bianche","2007 or earlier","824 NEW HAMPSHIRE AVE NW",-77.0528378,38.9002251
"Old Ebbitt Grill","2007 or earlier","675 15TH ST NW",-77.0332604,38.8980422
"Old Europe","2007 or earlier","2434 WISCONSIN AVE NW",-77.0725602,38.9219198
"Old Glory","2007 or earlier","3139 M ST NW",-77.0622101,38.9055131
"One Fish Two Fish","2007 or earlier","2423 PENNSYLVANIA AVE NW",-77.0521791,38.9036206
"Open City","2007 or earlier","2331 CALVERT ST NW",-77.0523596,38.9237149
"Otello","2007 or earlier","1329 CONNECTICUT AVE NW",-77.042125,38.9081343
"Panache","2007 or earlier","1725 DE SALES ST NW",-77.0417135,38.9046489
"Paolo's","2007 or earlier","1303 WISCONSIN AVE NW",-77.0629127,38.9069222
"Paper Moon","2007 or earlier","1069 31ST ST NW",-77.0611599,38.9045519
"Parthenon Restaurant & 
Chevy Chase Lounge","2007 or earlier","5510 CONNECTICUT AVE NW",-77.0751099,38.9634244
"Pearl Dive Oyster 
Palace/BlackJack","2010-11","1612 14TH ST NW",-77.0323242,38.9116311
"Penn Commons","2014-15","700 6TH ST NW",-77.020295,38.898992
"Penn Quarter Sports 
Tavern","2007 or earlier","639 INDIANA AVE NW",-77.0214979,38.894312
"Perry's Restaurant","2007 or earlier","1811 COLUMBIA RD NW",-77.043565,38.922119
"Pete's New Haven Style 
Apizza","2010-11","4940 WISCONSIN AVE NW",-77.082952,38.954482
"Petits Plats","2007 or earlier","2653 CONNECTICUT AVE NW",-77.0520569,38.9250922
"Pho Eurasian","2012-13","2153‐2155 P ST NW",-77.0483971,38.9097769
"Ping Pong","2008-9","900 7TH ST NW",-77.022557,38.9011488
"Pinstripes","2014-15","3222 M ST NW",-77.0639218,38.9047215
"Piola","2012-13","2208 14TH ST NW",-77.0323045,38.9195432
