"TRADE.NAME","OpenCat","street","lon","lat"
"Smoke & Barrel","2010-11","2471 18TH ST NW",-77.0422175,38.9222858
"Songbyrd","2014-15","2477 18TH ST NW",-77.0422671,38.9223987
"TD   BURGER","2012-13","250 K ST NE",-77.0024769,38.9030971
"The 51st State","2007 or earlier","2512 L ST NW",-77.053916,38.9035
"CHARMTHAI","2007 or earlier","2514 L ST NW",-77.053978,38.9035
"Bayou","2007 or earlier","2519 PENNSYLVANIA AVE NW",-77.053833,38.9041799
"FLAVORS OF 
INDIA/MARSHALL'S BAR","2012-13","2524 L ST NW",-77.0543178,38.9035026
"Dulcinea Bar and Grill","2012-13","2618 GEORGIA AVE NW",-77.0229119,38.924755
"Woodley Cafe","2007 or earlier","2619 CONNECTICUT AVE NW",-77.0513919,38.9241507
"Macintyre's Pub","2014-15","2621 CONNECTICUT AVE NW",-77.0514211,38.9241945
"Umi Japanese Cuisine","2010-11","2625 CONNECTICUT AVE NW",-77.0514811,38.924309
"Peace Lounge","2014-15","2632 GEORGIA AVE NW",-77.022931,38.9250148
"Noodles & Company","2012-13","2635 CONNECTICUT AVE NW",-77.0517207,38.9246042
"Cafe Paradiso","2007 or earlier","2649 CONNECTICUT AVE NW",-77.0519675,38.9249743
"HOT AND JUICY CRAWFISH","2010-11","2651 CONNECTICUT AVE NW",-77.0519988,38.9250263
"Panda Gourmet","2012-13","2700 NEW YORK AVE NE",-76.9704721,38.9177601
"Le Pain Quotidien","2007 or earlier","2815 M ST NW",-77.0575551,38.9054735
"Lillie's Restaurant","2010-11","2915 CONNECTICUT AVE NW",-77.0539639,38.928671
"Maxime Steak Frites & Bar","2014-15","2915 M ST NW",-77.0586012,38.9054729
"Unum","2010-11","2917 M ST NW",-77.0586757,38.9054562
"Pier 2934","2014-15","2934 M ST NW",-77.0590162,38.9050378
"Bluejacket/The Arsenal","2012-13","300 TINGEY ST SE",-77.0012686,38.8752103
"Sequoia Grill","2007 or earlier","3000 K ST NW STE # 00500",-77.0599099,38.9019792
"I‐Thai","2014-15","3003 M ST NW",-77.0594061,38.9053678
"Kruba","2012-13","301 TINGEY ST SE",-77.0015851,38.8743618
"We, The Pizza","2007 or earlier","305 PENNSYLVANIA AVE SE",-77.0017193,38.8866041
"Fiola Mare","2014-15","3050 K ST NW",-77.0607409,38.9020797
"Pupuseria San Miguel","2007 or earlier","3110 MOUNT PLEASANT ST NW",-77.0377337,38.9291859
"Colony Club","2014-15","3118 GEORGIA AVE NW",-77.02372,38.929572
"Marleny's Restaurant & 
Carryout","2008-9","3201 MOUNT PLEASANT ST NW",-77.0380977,38.9312979
"Wagshal's","2007 or earlier","3201 NEW MEXICO AVE NW",-77.0849157,38.9330436
"Room 11","2008-9","3234 11TH ST NW",-77.0280954,38.9304849
"Montmartre/7th Hill","2007 or earlier","327 7TH ST SE",-76.996494,38.885356
"Harmony Cafe","2007 or earlier","3287 M ST NW",-77.0656643,38.9053261
"Hawk N' Dove","2007 or earlier","329 PENNSYLVANIA AVE SE",-77.0012272,38.8863627
"Serendipity","2014-15","3301 12TH ST NE",-76.9906646,38.930785
