"Names","BreweryType","Address","lon","lat"
"Mully's Brewery","Micro","141 Schooner Ln Ste 15, Prince Frederick, MD 20678-3482",-76.647938,38.510411
"Ocelot Brewing","Micro","23600 Overland Dr Ste 180, Sterling, VA 20166-4441",-77.4992517,38.9629988
"Old 690 Brewing Co","Micro","15670 Ashbury Church Rd, Purcellville, VA 20132",-77.72646,39.183927
"Old Bust Head Brewing Co.","Micro","7134 Lineweaver Rd, Warrenton, VA 20187-3949",-77.6755087,38.7439089
"Old Ox Brewery LLC","Micro","44652 Guilford Dr Ste 114, Ashburn, VA 20147-6006",-77.4553148,39.0238995
"Ornery Beer Company","Brewpub","14389 Potomac Mills Rd, Woodbridge, VA 22192-6806",-77.2930204,38.6364871
"Pen Druid Brewing","Micro","7 River Ln, Sperryville, VA 22740-2147",-78.2261389,38.6570525
"Port City Brewing Co.","Micro","3950 Wheeler Ave, Alexandria, VA 22304-6409",-77.101497,38.8079629
"Quattro Goombas Brewery","Micro","22860 James Monroe Hwy, Aldie, VA 20105-1916",-77.6193759,38.984838
"Right Proper Brewing Company","Brewpub","624 T St NW, Washington, DC 20001-5119",-77.0214224,38.9154246
"Scorpion Brewing","Micro","929 Skinners Turn Rd Ste 100, Owings, MD 20736-3037",-76.6184945,38.6829922
"Spencer Devon Brewing","Brewpub","106 George St, Fredericksburg, VA 22401-5812",-77.4585408,38.3028095
"Steinhardt Brewing Company","Micro","PO Box 9, Braddock Heights, MD 21714-0009",-77.5033006,39.4193076
"Tin Cannon Brewing Company","Micro","7679 Limestone Dr Ste 130, Gainesville, VA 20155-4041",-77.597227,38.79045
"Vanish","Brewpub","42264 Black Hops Lane, Leesburg, VA 20176",-77.5636015,39.1156615
"Wild Run Brewing Company","Micro","3071 Jefferson Davis Hwy, Stafford, VA 22554-4524",-77.4005951,38.4717169
"Brewers Art / Old Line Brewery LLC","Brewpub","1106 N Charles St, Baltimore, MD 21201-5557",-76.6163918,39.3027614
"CraftWorks Brewery & Restaurant Group","Brewpub","1906 Towne Centre Blvd., Ste 155 , Annapolis, MD 21401-7410",-76.5405059,38.981842
"CraftWorks Brewery & Restaurant Group","Brewpub","1000 Lancaster St Ste B, Baltimore, MD 21202-4631",-76.5993919,39.2827203
"Dempsey's Brew Pub and Restaurant - Baltimore","Brewpub","555 Russell St Ste B, Baltimore, MD 21230-2404",-76.621759,39.283334
"DOG Brewing Co","Micro","1203 New Windsor Rd, Westminster, MD 21158-6704",-77.041126,39.555824
"DuClaw Brewing Co","Regional","8901 Yellow Brick Rd Ste B, Baltimore, MD 21237-2303",-76.479151,39.3402079
"Ellicott Mills Brewing Co","Brewpub","8308 Main St, Ellicott City, MD 21043-4601",-76.7996225,39.2681744
"Falling Branch Brewery","Micro","805 Highland Rd, Street, MD 21154-1312",-76.3728353,39.6662803
"Frey's Brewing Company","Micro","8601 Mapleville Rd, Mount Airy, MD 21771-9705",-77.202837,39.468591
"Frisco Tap House & Push Brewery","Brewpub","6695 Dobbin Rd, Columbia, MD 21045-4755",-76.8251306,39.1858726
"Heavy Seas Beer","Regional","4615 Hollins Ferry Rd Ste B, Baltimore, MD 21227-4624",-76.6756861,39.2316272
