ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00751,42180,0.001362060,0.000000000,0.000000000,0.001269475
00754,41980,1.000000000,1.000000000,1.000000000,1.000000000
00757,17640,0.002857498,0.030373832,0.000000000,0.004209049
00757,42180,0.997142502,0.969626168,1.000000000,0.995790951
00765,99999,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,1.000000000,1.000000000,1.000000000,1.000000000
00767,41980,1.000000000,1.000000000,1.000000000,1.000000000
00769,17620,1.000000000,1.000000000,1.000000000,1.000000000
00771,41980,1.000000000,1.000000000,1.000000000,1.000000000
00772,41980,1.000000000,1.000000000,1.000000000,1.000000000
00773,41980,1.000000000,1.000000000,1.000000000,1.000000000
00775,99999,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,1.000000000,1.000000000,1.000000000,1.000000000
00778,41980,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,1.000000000,1.000000000,1.000000000,1.000000000
00785,25020,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,1.000000000,1.000000000,1.000000000,1.000000000
00792,41980,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,1.000000000,1.000000000,1.000000000,1.000000000
00908,41980,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,1.000000000,1.000000000,1.000000000,1.000000000
00910,41980,1.000000000,1.000000000,1.000000000,1.000000000
00911,41980,1.000000000,1.000000000,1.000000000,1.000000000
00912,41980,1.000000000,1.000000000,1.000000000,1.000000000
00913,41980,1.000000000,1.000000000,1.000000000,1.000000000
00914,41980,1.000000000,1.000000000,1.000000000,1.000000000
00915,41980,1.000000000,1.000000000,1.000000000,1.000000000
00916,41980,1.000000000,1.000000000,1.000000000,1.000000000
00917,41980,1.000000000,1.000000000,1.000000000,1.000000000
00918,41980,1.000000000,1.000000000,1.000000000,1.000000000
00919,41980,1.000000000,1.000000000,1.000000000,1.000000000
00920,41980,1.000000000,1.000000000,1.000000000,1.000000000
00921,41980,1.000000000,1.000000000,1.000000000,1.000000000
00922,41980,1.000000000,1.000000000,1.000000000,1.000000000
00923,41980,1.000000000,1.000000000,1.000000000,1.000000000
00924,41980,1.000000000,1.000000000,1.000000000,1.000000000
00925,41980,1.000000000,1.000000000,1.000000000,1.000000000
00926,41980,1.000000000,1.000000000,1.000000000,1.000000000
00927,41980,1.000000000,1.000000000,1.000000000,1.000000000
00928,41980,1.000000000,1.000000000,1.000000000,1.000000000
00929,41980,1.000000000,1.000000000,1.000000000,1.000000000
00931,41980,1.000000000,1.000000000,1.000000000,1.000000000
00934,41980,1.000000000,1.000000000,1.000000000,1.000000000
00935,41980,0.000000000,1.000000000,0.000000000,1.000000000
00936,41980,1.000000000,1.000000000,1.000000000,1.000000000
00937,41980,1.000000000,1.000000000,1.000000000,1.000000000
00940,41980,1.000000000,1.000000000,1.000000000,1.000000000
00949,41980,1.000000000,1.000000000,1.000000000,1.000000000
00950,41980,1.000000000,1.000000000,1.000000000,1.000000000
00951,41980,1.000000000,1.000000000,1.000000000,1.000000000
00952,41980,1.000000000,1.000000000,1.000000000,1.000000000
00953,41980,1.000000000,1.000000000,1.000000000,1.000000000
00954,41980,1.000000000,1.000000000,1.000000000,1.000000000
00956,41980,1.000000000,1.000000000,1.000000000,1.000000000
00957,41980,1.000000000,1.000000000,1.000000000,1.000000000
00958,41980,1.000000000,1.000000000,1.000000000,1.000000000
00959,41980,1.000000000,1.000000000,1.000000000,1.000000000
00960,41980,1.000000000,1.000000000,1.000000000,1.000000000
00961,41980,1.000000000,1.000000000,1.000000000,1.000000000
00962,41980,1.000000000,1.000000000,1.000000000,1.000000000
00963,41980,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,1.000000000,1.000000000,1.000000000,1.000000000
00968,41980,1.000000000,1.000000000,1.000000000,1.000000000
00969,41980,1.000000000,1.000000000,1.000000000,1.000000000
00970,41980,1.000000000,1.000000000,1.000000000,1.000000000
00971,41980,1.000000000,1.000000000,1.000000000,1.000000000
00975,41980,0.000000000,1.000000000,1.000000000,1.000000000
00976,41980,1.000000000,1.000000000,1.000000000,1.000000000
00977,41980,1.000000000,1.000000000,1.000000000,1.000000000
00979,41980,1.000000000,1.000000000,1.000000000,1.000000000
00981,41980,1.000000000,1.000000000,1.000000000,1.000000000
00982,41980,1.000000000,1.000000000,1.000000000,1.000000000
00983,41980,1.000000000,1.000000000,1.000000000,1.000000000
00984,41980,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,1.000000000,1.000000000,1.000000000,1.000000000
00986,41980,1.000000000,1.000000000,1.000000000,1.000000000
00987,41980,1.000000000,1.000000000,1.000000000,1.000000000
00988,41980,1.000000000,1.000000000,1.000000000,1.000000000
01001,44140,1.000000000,1.000000000,1.000000000,1.000000000
01002,24640,0.011720097,0.001126126,0.003710575,0.010666871
01002,44140,0.988279903,0.998873874,0.996289425,0.989333129
01003,44140,1.000000000,1.000000000,1.000000000,1.000000000
01004,44140,1.000000000,1.000000000,1.000000000,1.000000000
01005,49340,1.000000000,1.000000000,1.000000000,1.000000000
01007,44140,1.000000000,1.000000000,1.000000000,1.000000000
01008,38340,0.038854806,0.050000000,0.000000000,0.038910506
01008,44140,0.961145194,0.950000000,1.000000000,0.961089494
01009,44140,0.000000000,1.000000000,0.000000000,1.000000000
01010,44140,0.981645570,1.000000000,0.000000000,0.982142857
01010,49340,0.018354430,0.000000000,0.000000000,0.017857143
01011,38340,0.008064516,0.027027027,0.000000000,0.009276438
01011,44140,0.991935484,0.972972973,1.000000000,0.990723562
01012,44140,1.000000000,1.000000000,1.000000000,1.000000000
01013,44140,1.000000000,1.000000000,1.000000000,1.000000000
01014,44140,1.000000000,1.000000000,1.000000000,1.000000000
01020,44140,1.000000000,1.000000000,1.000000000,1.000000000
01021,44140,1.000000000,1.000000000,1.000000000,1.000000000
01022,44140,1.000000000,1.000000000,1.000000000,1.000000000
01026,38340,0.052631579,0.040000000,0.000000000,0.051107325
01026,44140,0.947368421,0.960000000,1.000000000,0.948892675
01027,44140,1.000000000,1.000000000,1.000000000,1.000000000
01028,44140,1.000000000,1.000000000,1.000000000,1.000000000
01029,38340,1.000000000,0.000000000,1.000000000,1.000000000
01030,44140,1.000000000,1.000000000,1.000000000,1.000000000
01031,49340,1.000000000,1.000000000,1.000000000,1.000000000
01032,44140,1.000000000,1.000000000,1.000000000,1.000000000
01033,44140,1.000000000,1.000000000,1.000000000,1.000000000
01034,44140,1.000000000,1.000000000,1.000000000,1.000000000
01035,44140,1.000000000,1.000000000,1.000000000,1.000000000
01036,44140,1.000000000,1.000000000,1.000000000,1.000000000
01037,49340,1.000000000,1.000000000,0.000000000,1.000000000
01038,44140,1.000000000,1.000000000,1.000000000,1.000000000
01039,24640,0.191489362,0.000000000,0.250000000,0.188235294
01039,44140,0.808510638,1.000000000,0.750000000,0.811764706
01040,44140,1.000000000,1.000000000,1.000000000,1.000000000
01041,44140,1.000000000,1.000000000,1.000000000,1.000000000
01050,44140,1.000000000,1.000000000,1.000000000,1.000000000
01053,44140,1.000000000,1.000000000,1.000000000,1.000000000
01054,24640,1.000000000,1.000000000,1.000000000,1.000000000
01056,44140,1.000000000,1.000000000,1.000000000,1.000000000
01057,44140,1.000000000,1.000000000,1.000000000,1.000000000
01059,44140,0.000000000,1.000000000,0.000000000,1.000000000
01060,44140,1.000000000,1.000000000,1.000000000,1.000000000
01061,44140,1.000000000,1.000000000,1.000000000,1.000000000
01062,44140,1.000000000,1.000000000,1.000000000,1.000000000
01063,44140,0.000000000,1.000000000,1.000000000,1.000000000
01066,44140,1.000000000,1.000000000,0.000000000,1.000000000
01068,49340,1.000000000,1.000000000,1.000000000,1.000000000
01069,44140,1.000000000,1.000000000,1.000000000,1.000000000
01070,24640,0.007168459,0.000000000,0.000000000,0.007092199
01070,44140,0.992831541,1.000000000,1.000000000,0.992907801
01071,44140,1.000000000,1.000000000,1.000000000,1.000000000
01072,24640,1.000000000,1.000000000,1.000000000,1.000000000
01073,44140,1.000000000,1.000000000,1.000000000,1.000000000
01074,49340,0.000000000,1.000000000,0.000000000,1.000000000
01075,44140,1.000000000,1.000000000,1.000000000,1.000000000
01077,44140,1.000000000,1.000000000,1.000000000,1.000000000
01079,44140,1.000000000,1.000000000,0.000000000,1.000000000
01080,44140,1.000000000,1.000000000,1.000000000,1.000000000
01081,44140,1.000000000,1.000000000,1.000000000,1.000000000
01082,44140,0.932701796,0.792915531,0.947368421,0.924309101
01082,49340,0.067298204,0.207084469,0.052631579,0.075690899
01083,49340,0.000000000,0.000000000,1.000000000,1.000000000
01084,44140,1.000000000,0.000000000,1.000000000,1.000000000
01085,44140,1.000000000,1.000000000,1.000000000,1.000000000
01088,44140,1.000000000,1.000000000,1.000000000,1.000000000
01089,44140,1.000000000,1.000000000,1.000000000,1.000000000
01090,44140,1.000000000,1.000000000,1.000000000,1.000000000
01092,49340,0.000000000,0.000000000,1.000000000,1.000000000
01093,24640,1.000000000,0.000000000,1.000000000,1.000000000
01094,49340,0.000000000,1.000000000,1.000000000,1.000000000
01095,44140,1.000000000,1.000000000,1.000000000,1.000000000
01096,24640,0.111574557,0.062500000,0.000000000,0.110204082
01096,44140,0.888425443,0.937500000,1.000000000,0.889795918
01098,44140,1.000000000,1.000000000,1.000000000,1.000000000
01101,44140,1.000000000,1.000000000,1.000000000,1.000000000
01103,44140,1.000000000,1.000000000,1.000000000,1.000000000
01104,44140,1.000000000,1.000000000,1.000000000,1.000000000
01105,44140,1.000000000,1.000000000,1.000000000,1.000000000
01106,44140,1.000000000,1.000000000,1.000000000,1.000000000
